                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1464,                  3.763,                 1.6946,                0.67101,                0.34145,                0.34601,                0.15777,                 2.0474,                 2.7764,                  1.586,             0.00023593,             0.00023593,             0.00023593
                      2,                 1.9711,                 2.7589,                 1.5652,                0.70415,                0.38555,                0.41373,                0.19183,                  2.006,                 2.3063,                 1.5896,             0.00046924,             0.00046924,             0.00046924
                      3,                 1.9135,                 2.4549,                 1.5477,                0.48475,                0.41389,                0.39724,                0.18071,                 2.0204,                  2.142,                 1.5976,             0.00069783,             0.00069783,             0.00069783
                      4,                 1.9018,                 2.2964,                 1.5554,                0.69922,                0.46112,                 0.4588,                0.20314,                 2.0297,                 2.1414,                 1.6025,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.8908,                 2.1551,                 1.5262,                0.57548,                0.49387,                0.50772,                0.23533,                 1.9779,                 1.7931,                 1.5383,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.8456,                 2.0136,                 1.5046,                0.60305,                0.42555,                 0.4782,                0.22634,                 1.9166,                 1.8339,                 1.5023,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.8079,                  1.879,                 1.4647,                0.67769,                0.46504,                0.51215,                0.24307,                 1.9248,                 1.7634,                  1.504,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.7957,                 1.8717,                 1.4675,                0.58279,                0.52603,                0.52035,                0.24215,                 1.9045,                 1.6633,                 1.5275,             0.00067159,             0.00067159,             0.00067159
                      9,                  1.772,                 1.7572,                 1.4679,                0.62518,                0.54539,                 0.5727,                0.27305,                 1.9043,                 1.5906,                 1.5259,             0.00066452,             0.00066452,             0.00066452
                     10,                  1.749,                 1.6748,                  1.449,                0.72328,                0.49618,                0.56919,                 0.2748,                 1.8566,                 1.6285,                 1.4831,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.7407,                 1.6728,                 1.4243,                0.55173,                0.52698,                0.56147,                0.27316,                 1.8407,                  1.597,                  1.484,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.7188,                 1.6422,                 1.4173,                0.47995,                0.57437,                0.51694,                0.25278,                 1.8974,                 1.6226,                  1.472,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.7456,                  1.642,                 1.4461,                0.53765,                0.60274,                 0.5865,                0.29046,                 1.8372,                 1.5577,                  1.465,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.7177,                  1.643,                 1.4266,                0.52676,                0.54754,                0.53545,                0.25984,                 1.8791,                 1.6871,                 1.4596,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.6662,                 1.5622,                 1.3921,                0.62947,                 0.5287,                 0.5826,                0.27905,                 1.8729,                 1.5302,                 1.4951,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.6898,                 1.5434,                 1.4008,                0.58357,                0.59811,                0.58448,                0.28156,                 1.8828,                 1.5044,                 1.4742,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.6963,                 1.5144,                  1.391,                 0.5747,                0.63606,                0.60906,                0.28928,                 1.8328,                 1.4656,                 1.4675,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.6887,                  1.522,                 1.3885,                0.63018,                0.54701,                0.60503,                0.28876,                 1.8693,                 1.4743,                 1.5009,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.6462,                 1.4709,                 1.3722,                0.58548,                0.59634,                0.60903,                0.30084,                 1.8145,                 1.4707,                  1.455,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.6591,                 1.4513,                 1.3821,                0.54026,                0.55249,                0.56845,                0.27326,                 1.8016,                 1.4646,                 1.4564,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.6457,                 1.4291,                 1.3749,                 0.6281,                0.59486,                 0.6225,                0.30751,                  1.846,                 1.4505,                 1.4783,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.6214,                 1.4013,                 1.3507,                0.62405,                0.56645,                0.61935,                0.30257,                 1.8057,                  1.417,                 1.4448,             0.00057263,             0.00057263,             0.00057263
                     23,                  1.612,                 1.4122,                 1.3526,                0.71054,                0.55943,                0.59469,                0.30382,                 1.8046,                 1.4253,                 1.4376,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.6217,                 1.3848,                 1.3437,                0.59994,                0.61834,                0.62103,                0.30079,                 1.8563,                 1.3905,                 1.4727,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.6208,                 1.3724,                 1.3482,                0.56153,                 0.6431,                0.60539,                 0.3022,                 1.8168,                  1.404,                 1.4628,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.6181,                 1.3745,                 1.3594,                0.58231,                0.60283,                0.59681,                0.29169,                 1.8359,                 1.4489,                 1.4375,             0.00054435,             0.00054435,             0.00054435
                     27,                  1.598,                  1.343,                 1.3389,                0.64215,                0.64138,                 0.6345,                 0.3144,                  1.818,                 1.4222,                 1.4317,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.5947,                 1.3062,                 1.3185,                0.71912,                0.55431,                0.62229,                0.31319,                 1.8459,                 1.3715,                 1.4503,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.5858,                 1.3174,                 1.3212,                0.60688,                0.63553,                 0.6236,                0.30663,                  1.815,                 1.3973,                 1.4285,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.5724,                 1.3263,                 1.3196,                 0.6162,                0.60553,                0.61095,                0.31493,                 1.7707,                 1.3522,                 1.4469,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.5564,                 1.2898,                 1.3209,                0.57399,                0.60512,                0.58524,                0.29061,                 1.7902,                 1.3839,                 1.4256,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.5592,                 1.2789,                 1.3089,                0.57386,                0.62809,                0.62773,                0.32219,                 1.7698,                 1.3387,                 1.4281,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.5417,                 1.2734,                 1.3124,                0.58709,                0.64967,                0.61682,                0.32342,                 1.7994,                  1.367,                 1.4158,             0.00049487,             0.00049487,             0.00049487
                     34,                 1.5493,                 1.2545,                 1.3041,                0.60723,                0.63092,                0.64082,                 0.3346,                 1.7457,                 1.3204,                 1.4137,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.5246,                 1.2277,                 1.2861,                0.61697,                0.62221,                0.63902,                0.31806,                 1.8323,                 1.3323,                 1.4463,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.5421,                 1.2333,                 1.3172,                0.54671,                0.65892,                0.64029,                0.31481,                 1.8322,                 1.3119,                 1.4574,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.5518,                 1.2341,                 1.3057,                0.60841,                0.57359,                0.60503,                0.30938,                  1.796,                 1.3508,                 1.4474,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.5417,                 1.2197,                 1.2974,                0.65482,                0.58959,                0.62943,                0.32872,                 1.7495,                   1.31,                 1.4127,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.5157,                 1.2183,                 1.2949,                0.65922,                 0.5944,                0.62599,                0.31249,                 1.8075,                 1.3476,                 1.4609,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.5252,                 1.2068,                  1.297,                0.58737,                0.60685,                0.60554,                0.30822,                 1.8125,                 1.3433,                 1.4243,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.5211,                 1.1831,                 1.2867,                0.55268,                0.64439,                0.63944,                0.32196,                 1.8258,                 1.2719,                 1.4663,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.4996,                 1.1688,                  1.284,                0.58837,                 0.6248,                0.62038,                0.31626,                 1.8007,                 1.3303,                 1.4697,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.5084,                 1.1752,                 1.2956,                 0.5674,                 0.6499,                0.61894,                0.31593,                 1.8016,                 1.2901,                 1.4402,             0.00042419,             0.00042419,             0.00042419
                     44,                 1.4913,                 1.1507,                 1.2709,                0.62005,                0.63406,                0.63096,                0.33293,                 1.7488,                 1.2728,                 1.4104,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.4785,                 1.1641,                 1.2692,                0.63756,                 0.6032,                0.64404,                0.33509,                 1.7747,                 1.2977,                  1.446,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.4871,                 1.1302,                 1.2723,                0.62411,                0.63087,                0.65297,                0.33465,                 1.8033,                 1.2801,                 1.4467,             0.00040298,             0.00040298,             0.00040298
                     47,                  1.462,                 1.1338,                 1.2669,                0.60128,                0.62286,                0.64076,                0.32825,                 1.7976,                 1.2861,                 1.4472,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.4856,                 1.1247,                 1.2717,                 0.6024,                0.68042,                0.64362,                0.33149,                 1.7761,                 1.2361,                 1.4353,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.4406,                 1.0962,                 1.2473,                0.59007,                0.66867,                0.64997,                0.33613,                 1.7935,                  1.256,                 1.4446,             0.00038178,             0.00038178,             0.00038178
                     50,                 1.4461,                 1.0932,                 1.2513,                0.61342,                0.64645,                0.66125,                0.34219,                 1.7845,                 1.2688,                 1.4303,             0.00037471,             0.00037471,             0.00037471
                     51,                 1.4247,                 1.0723,                 1.2397,                0.65497,                0.64881,                0.65982,                0.32821,                 1.8176,                 1.2438,                 1.4478,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.4456,                 1.0793,                 1.2469,                  0.642,                0.64205,                0.66847,                0.34398,                 1.8305,                 1.2444,                 1.4614,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.4495,                 1.0815,                 1.2454,                0.64352,                 0.6552,                0.65271,                0.33776,                 1.7963,                 1.2669,                 1.4277,              0.0003535,              0.0003535,              0.0003535
                     54,                 1.4224,                 1.0564,                 1.2425,                0.54621,                0.64986,                0.62301,                0.31475,                 1.8542,                 1.3245,                 1.4729,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.4216,                 1.0478,                 1.2375,                0.64966,                0.65457,                0.65421,                0.34096,                 1.7849,                 1.2337,                 1.4392,             0.00033936,             0.00033936,             0.00033936
                     56,                 1.4196,                 1.0361,                 1.2363,                0.60521,                0.60794,                0.63898,                0.33326,                 1.7897,                 1.2731,                 1.4623,              0.0003323,              0.0003323,              0.0003323
                     57,                 1.4182,                 1.0584,                 1.2351,                0.63615,                0.62039,                0.63964,                0.32234,                 1.8411,                  1.268,                 1.4766,             0.00032523,             0.00032523,             0.00032523
                     58,                 1.4312,                 1.0375,                 1.2382,                0.61215,                 0.6588,                0.65083,                0.34422,                 1.7874,                  1.247,                 1.4328,             0.00031816,             0.00031816,             0.00031816
                     59,                 1.3697,                 0.9831,                 1.2091,                0.57512,                 0.6661,                0.63203,                0.32427,                 1.8408,                 1.2566,                 1.4615,             0.00031109,             0.00031109,             0.00031109
                     60,                 1.4126,                 1.0168,                 1.2302,                 0.6443,                0.63471,                0.64859,                0.34066,                  1.793,                 1.2085,                 1.4594,             0.00030402,             0.00030402,             0.00030402
                     61,                 1.3799,                0.99209,                  1.218,                0.63065,                0.59385,                0.63106,                0.32492,                 1.8339,                 1.2645,                 1.4786,             0.00029695,             0.00029695,             0.00029695
                     62,                 1.3789,                0.99026,                 1.2124,                0.68457,                0.56897,                 0.6439,                0.33479,                 1.8355,                 1.2586,                 1.4488,             0.00028988,             0.00028988,             0.00028988
                     63,                  1.389,                0.98987,                 1.2137,                0.60343,                0.61514,                0.64211,                0.33268,                 1.8206,                 1.2845,                 1.4656,             0.00028282,             0.00028282,             0.00028282
                     64,                 1.3798,                 0.9856,                 1.2187,                0.60625,                0.62035,                 0.6423,                0.33216,                 1.8147,                 1.2269,                  1.453,             0.00027575,             0.00027575,             0.00027575
                     65,                 1.3542,                0.95811,                 1.1856,                0.57352,                0.65575,                  0.648,                0.34148,                 1.8217,                 1.2182,                 1.4595,             0.00026868,             0.00026868,             0.00026868
                     66,                 1.3801,                0.97688,                 1.2034,                   0.59,                0.62635,                 0.6281,                0.33065,                 1.8239,                  1.253,                 1.4704,             0.00026161,             0.00026161,             0.00026161
                     67,                 1.3487,                0.94088,                 1.2028,                0.67843,                0.61085,                0.65467,                0.33177,                 1.8392,                 1.2369,                 1.4859,             0.00025454,             0.00025454,             0.00025454
                     68,                 1.3508,                 0.9579,                 1.1952,                0.63841,                0.66676,                0.64963,                0.33298,                  1.848,                 1.2025,                 1.4779,             0.00024747,             0.00024747,             0.00024747
                     69,                  1.334,                 0.9359,                 1.1825,                0.64399,                0.63224,                0.65407,                0.34035,                  1.807,                 1.2157,                 1.4615,              0.0002404,              0.0002404,              0.0002404
                     70,                 1.3357,                0.93174,                  1.184,                0.61168,                0.63492,                0.64669,                0.32997,                 1.8267,                 1.2144,                 1.4577,             0.00023334,             0.00023334,             0.00023334
                     71,                 1.3173,                 0.9303,                 1.1829,                0.61589,                0.64916,                0.63173,                0.32587,                 1.8449,                 1.2412,                 1.4755,             0.00022627,             0.00022627,             0.00022627
                     72,                 1.3234,                0.91367,                 1.1841,                 0.5728,                0.66501,                0.64776,                0.34039,                 1.8424,                 1.2355,                 1.4888,              0.0002192,              0.0002192,              0.0002192
                     73,                 1.3166,                0.90693,                 1.1821,                0.61496,                0.64927,                0.63645,                0.33278,                  1.846,                 1.2217,                 1.4726,             0.00021213,             0.00021213,             0.00021213
                     74,                 1.3162,                0.92205,                 1.1819,                0.58347,                 0.6599,                0.63532,                0.33588,                 1.8205,                 1.2301,                 1.4643,             0.00020506,             0.00020506,             0.00020506
                     75,                 1.2934,                0.88835,                 1.1718,                0.61635,                0.63182,                0.63603,                0.33494,                 1.8231,                 1.2214,                 1.4702,             0.00019799,             0.00019799,             0.00019799
                     76,                 1.3051,                 0.9077,                 1.1744,                0.65166,                0.62529,                 0.6442,                0.33293,                   1.85,                 1.2285,                 1.4716,             0.00019092,             0.00019092,             0.00019092
                     77,                 1.3002,                0.90623,                 1.1648,                0.60149,                0.63322,                0.63954,                0.33796,                 1.7955,                    1.2,                  1.457,             0.00018385,             0.00018385,             0.00018385
                     78,                 1.2729,                0.86177,                 1.1516,                0.62862,                0.65735,                0.65205,                0.33706,                 1.8431,                 1.2111,                 1.4751,             0.00017679,             0.00017679,             0.00017679
                     79,                 1.2814,                0.86746,                 1.1572,                0.56371,                0.66803,                0.63721,                0.33352,                 1.8573,                  1.231,                 1.4839,             0.00016972,             0.00016972,             0.00016972
                     80,                 1.2846,                 0.8743,                  1.165,                0.58758,                0.65902,                0.64443,                0.33885,                 1.8615,                 1.2101,                 1.4886,             0.00016265,             0.00016265,             0.00016265
                     81,                 1.2642,                0.86468,                 1.1518,                0.60764,                0.67076,                0.65937,                0.34848,                 1.8287,                 1.2112,                 1.4718,             0.00015558,             0.00015558,             0.00015558
                     82,                 1.2614,                  0.858,                 1.1598,                0.61533,                0.67776,                0.65914,                0.34367,                 1.8443,                 1.2108,                 1.4923,             0.00014851,             0.00014851,             0.00014851
                     83,                 1.2676,                0.85408,                  1.152,                0.62826,                0.68242,                 0.6482,                0.33846,                 1.8611,                 1.2047,                 1.4901,             0.00014144,             0.00014144,             0.00014144
                     84,                 1.2394,                0.84493,                 1.1441,                0.66098,                0.60586,                0.64946,                0.34242,                 1.8381,                 1.2155,                  1.472,             0.00013437,             0.00013437,             0.00013437
                     85,                 1.2463,                0.84284,                 1.1493,                0.61581,                0.63994,                 0.6443,                0.34205,                 1.8465,                 1.2043,                 1.4795,             0.00012731,             0.00012731,             0.00012731
                     86,                 1.2344,                0.83961,                 1.1442,                0.62689,                0.65082,                0.65443,                0.35127,                 1.8369,                 1.2028,                 1.4888,             0.00012024,             0.00012024,             0.00012024
                     87,                 1.2156,                0.82106,                 1.1385,                0.63784,                0.63351,                0.65292,                0.34182,                 1.8391,                 1.2049,                 1.4696,             0.00011317,             0.00011317,             0.00011317
                     88,                 1.2481,                0.82929,                 1.1373,                0.66005,                0.66692,                0.66289,                0.34048,                 1.8704,                 1.2088,                 1.4844,              0.0001061,              0.0001061,              0.0001061
                     89,                 1.2145,                0.80316,                 1.1208,                0.64319,                0.64958,                0.65264,                0.34077,                 1.8507,                 1.2135,                 1.4817,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                 1.2129,                0.81128,                 1.1286,                0.60192,                0.66897,                0.65236,                0.34407,                 1.8286,                 1.1945,                 1.4775,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                 1.2501,                0.81629,                 1.1563,                0.64235,                0.64481,                0.64426,                0.33456,                 1.8402,                    1.2,                 1.4896,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                 1.2092,                0.76182,                 1.1355,                0.61536,                0.65332,                0.64798,                0.34214,                 1.8399,                 1.1806,                 1.4943,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                 1.1775,                0.73906,                 1.1205,                0.62246,                0.66138,                0.64377,                0.33952,                 1.8121,                 1.1674,                 1.4717,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                 1.1656,                0.73563,                 1.1174,                0.63404,                0.66017,                0.65071,                0.34141,                 1.8339,                 1.1781,                 1.4834,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 1.1603,                0.72469,                 1.1081,                0.60491,                0.66919,                0.64844,                 0.3443,                 1.8184,                 1.1792,                 1.4747,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                 1.1483,                0.72213,                  1.115,                0.65238,                0.63217,                0.65615,                0.34584,                 1.8092,                 1.1823,                  1.467,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                 1.1366,                0.70906,                 1.0999,                0.60757,                0.66736,                0.64981,                0.34556,                 1.8142,                 1.1806,                  1.477,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 1.1338,                0.70524,                 1.1024,                0.62247,                0.62822,                0.63814,                0.34153,                 1.8166,                  1.183,                 1.4801,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 1.1293,                0.69817,                 1.0981,                0.63989,                0.63006,                0.64898,                0.34815,                 1.8045,                 1.1682,                 1.4728,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                 1.1145,                0.69784,                 1.0946,                0.63257,                0.63371,                0.64556,                0.34634,                 1.8041,                 1.1767,                 1.4699,             2.1277e-05,             2.1277e-05,             2.1277e-05
